,Unnamed: 0,Thermal file,Thermal mask file
4340,1072,Scene 2/SyncT/01239.jpg,Scene 2/thermalMasks/01239.jpg
1337,1337,Scene 1/SyncT/01621.jpg,Scene 1/thermalMasks/01621.jpg
5519,411,Scene 3/SyncT/00763.jpg,Scene 3/thermalMasks/00763.jpg
7363,2255,Scene 3/SyncT/01815.jpg,Scene 3/thermalMasks/01815.jpg
6397,1289,Scene 3/SyncT/01102.jpg,Scene 3/thermalMasks/01102.jpg
7244,2136,Scene 3/SyncT/01696.jpg,Scene 3/thermalMasks/01696.jpg
590,590,Scene 1/SyncT/00381.jpg,Scene 1/thermalMasks/00381.jpg
3746,478,Scene 2/SyncT/00558.jpg,Scene 2/thermalMasks/00558.jpg
3018,3018,Scene 1/SyncT/00397.jpg,Scene 1/thermalMasks/00397.jpg
904,904,Scene 1/SyncT/01270.jpg,Scene 1/thermalMasks/01270.jpg
6954,1846,Scene 3/SyncT/01406.jpg,Scene 3/thermalMasks/01406.jpg
5396,288,Scene 3/SyncT/00242.jpg,Scene 3/thermalMasks/00242.jpg
1376,1376,Scene 1/SyncT/01641.jpg,Scene 1/thermalMasks/01641.jpg
2097,2097,Scene 1/SyncT/02001.jpg,Scene 1/thermalMasks/02001.jpg
6500,1392,Scene 3/SyncT/01154.jpg,Scene 3/thermalMasks/01154.jpg
4735,1467,Scene 2/SyncT/01765.jpg,Scene 2/thermalMasks/01765.jpg
5642,534,Scene 3/SyncT/00810.jpg,Scene 3/thermalMasks/00810.jpg
3123,3123,Scene 1/SyncT/00502.jpg,Scene 1/thermalMasks/00502.jpg
532,532,Scene 1/SyncT/00323.jpg,Scene 1/thermalMasks/00323.jpg
7947,2839,Scene 3/SyncT/02399.jpg,Scene 3/thermalMasks/02399.jpg
5638,530,Scene 3/SyncT/00808.jpg,Scene 3/thermalMasks/00808.jpg
5411,303,Scene 3/SyncT/00250.jpg,Scene 3/thermalMasks/00250.jpg
2144,2144,Scene 1/SyncT/02025.jpg,Scene 1/thermalMasks/02025.jpg
5664,556,Scene 3/SyncT/00817.jpg,Scene 3/thermalMasks/00817.jpg
1126,1126,Scene 1/SyncT/01468.jpg,Scene 1/thermalMasks/01468.jpg
6787,1679,Scene 3/SyncT/01297.jpg,Scene 3/thermalMasks/01297.jpg
4744,1476,Scene 2/SyncT/01774.jpg,Scene 2/thermalMasks/01774.jpg
7668,2560,Scene 3/SyncT/02120.jpg,Scene 3/thermalMasks/02120.jpg
3590,322,Scene 2/SyncT/00451.jpg,Scene 2/thermalMasks/00451.jpg
1356,1356,Scene 1/SyncT/01631.jpg,Scene 1/thermalMasks/01631.jpg
99,99,Scene 1/SyncT/00092.jpg,Scene 1/thermalMasks/00092.jpg
4607,1339,Scene 2/SyncT/01637.jpg,Scene 2/thermalMasks/01637.jpg
6577,1469,Scene 3/SyncT/01192.jpg,Scene 3/thermalMasks/01192.jpg
6379,1271,Scene 3/SyncT/01093.jpg,Scene 3/thermalMasks/01093.jpg
2775,2775,Scene 1/SyncT/02340.jpg,Scene 1/thermalMasks/02340.jpg
6865,1757,Scene 3/SyncT/01336.jpg,Scene 3/thermalMasks/01336.jpg
2732,2732,Scene 1/SyncT/02319.jpg,Scene 1/thermalMasks/02319.jpg
3324,56,Scene 2/SyncT/00270.jpg,Scene 2/thermalMasks/00270.jpg
1261,1261,Scene 1/SyncT/01583.jpg,Scene 1/thermalMasks/01583.jpg
4669,1401,Scene 2/SyncT/01699.jpg,Scene 2/thermalMasks/01699.jpg
3869,601,Scene 2/SyncT/00681.jpg,Scene 2/thermalMasks/00681.jpg
309,309,Scene 1/SyncT/00187.jpg,Scene 1/thermalMasks/00187.jpg
6495,1387,Scene 3/SyncT/01151.jpg,Scene 3/thermalMasks/01151.jpg
5478,370,Scene 3/SyncT/00283.jpg,Scene 3/thermalMasks/00283.jpg
2649,2649,Scene 1/SyncT/02277.jpg,Scene 1/thermalMasks/02277.jpg
1845,1845,Scene 1/SyncT/01875.jpg,Scene 1/thermalMasks/01875.jpg
4137,869,Scene 2/SyncT/00949.jpg,Scene 2/thermalMasks/00949.jpg
1940,1940,Scene 1/SyncT/01923.jpg,Scene 1/thermalMasks/01923.jpg
108,108,Scene 1/SyncT/00095.jpg,Scene 1/thermalMasks/00095.jpg
3228,3228,Scene 1/SyncT/01206.jpg,Scene 1/thermalMasks/01206.jpg
6024,916,Scene 3/SyncT/00937.jpg,Scene 3/thermalMasks/00937.jpg
2774,2774,Scene 1/SyncT/02340.jpg,Scene 1/thermalMasks/02340.jpg
7430,2322,Scene 3/SyncT/01882.jpg,Scene 3/thermalMasks/01882.jpg
1324,1324,Scene 1/SyncT/01615.jpg,Scene 1/thermalMasks/01615.jpg
361,361,Scene 1/SyncT/00213.jpg,Scene 1/thermalMasks/00213.jpg
109,109,Scene 1/SyncT/00096.jpg,Scene 1/thermalMasks/00096.jpg
3794,526,Scene 2/SyncT/00606.jpg,Scene 2/thermalMasks/00606.jpg
7864,2756,Scene 3/SyncT/02316.jpg,Scene 3/thermalMasks/02316.jpg
2242,2242,Scene 1/SyncT/02074.jpg,Scene 1/thermalMasks/02074.jpg
1225,1225,Scene 1/SyncT/01566.jpg,Scene 1/thermalMasks/01566.jpg
1996,1996,Scene 1/SyncT/01951.jpg,Scene 1/thermalMasks/01951.jpg
3316,48,Scene 2/SyncT/00262.jpg,Scene 2/thermalMasks/00262.jpg
432,432,Scene 1/SyncT/00249.jpg,Scene 1/thermalMasks/00249.jpg
4101,833,Scene 2/SyncT/00913.jpg,Scene 2/thermalMasks/00913.jpg
2461,2461,Scene 1/SyncT/02183.jpg,Scene 1/thermalMasks/02183.jpg
312,312,Scene 1/SyncT/00189.jpg,Scene 1/thermalMasks/00189.jpg
1354,1354,Scene 1/SyncT/01630.jpg,Scene 1/thermalMasks/01630.jpg
438,438,Scene 1/SyncT/00252.jpg,Scene 1/thermalMasks/00252.jpg
7202,2094,Scene 3/SyncT/01654.jpg,Scene 3/thermalMasks/01654.jpg
7079,1971,Scene 3/SyncT/01531.jpg,Scene 3/thermalMasks/01531.jpg
667,667,Scene 1/SyncT/00458.jpg,Scene 1/thermalMasks/00458.jpg
3749,481,Scene 2/SyncT/00561.jpg,Scene 2/thermalMasks/00561.jpg
6935,1827,Scene 3/SyncT/01387.jpg,Scene 3/thermalMasks/01387.jpg
5987,879,Scene 3/SyncT/00925.jpg,Scene 3/thermalMasks/00925.jpg
2377,2377,Scene 1/SyncT/02141.jpg,Scene 1/thermalMasks/02141.jpg
1857,1857,Scene 1/SyncT/01881.jpg,Scene 1/thermalMasks/01881.jpg
2487,2487,Scene 1/SyncT/02196.jpg,Scene 1/thermalMasks/02196.jpg
2980,2980,Scene 1/SyncT/00359.jpg,Scene 1/thermalMasks/00359.jpg
2687,2687,Scene 1/SyncT/02296.jpg,Scene 1/thermalMasks/02296.jpg
4339,1071,Scene 2/SyncT/01238.jpg,Scene 2/thermalMasks/01238.jpg
7364,2256,Scene 3/SyncT/01816.jpg,Scene 3/thermalMasks/01816.jpg
3563,295,Scene 2/SyncT/00424.jpg,Scene 2/thermalMasks/00424.jpg
7828,2720,Scene 3/SyncT/02280.jpg,Scene 3/thermalMasks/02280.jpg
6916,1808,Scene 3/SyncT/01368.jpg,Scene 3/thermalMasks/01368.jpg
1011,1011,Scene 1/SyncT/01353.jpg,Scene 1/thermalMasks/01353.jpg
3626,358,Scene 2/SyncT/00485.jpg,Scene 2/thermalMasks/00485.jpg
7890,2782,Scene 3/SyncT/02342.jpg,Scene 3/thermalMasks/02342.jpg
7590,2482,Scene 3/SyncT/02042.jpg,Scene 3/thermalMasks/02042.jpg
488,488,Scene 1/SyncT/00279.jpg,Scene 1/thermalMasks/00279.jpg
3802,534,Scene 2/SyncT/00614.jpg,Scene 2/thermalMasks/00614.jpg
520,520,Scene 1/SyncT/00311.jpg,Scene 1/thermalMasks/00311.jpg
232,232,Scene 1/SyncT/00149.jpg,Scene 1/thermalMasks/00149.jpg
6255,1147,Scene 3/SyncT/01031.jpg,Scene 3/thermalMasks/01031.jpg
7886,2778,Scene 3/SyncT/02338.jpg,Scene 3/thermalMasks/02338.jpg
6037,929,Scene 3/SyncT/00941.jpg,Scene 3/thermalMasks/00941.jpg
7152,2044,Scene 3/SyncT/01604.jpg,Scene 3/thermalMasks/01604.jpg
7838,2730,Scene 3/SyncT/02290.jpg,Scene 3/thermalMasks/02290.jpg
914,914,Scene 1/SyncT/01275.jpg,Scene 1/thermalMasks/01275.jpg
4363,1095,Scene 2/SyncT/01262.jpg,Scene 2/thermalMasks/01262.jpg
2443,2443,Scene 1/SyncT/02174.jpg,Scene 1/thermalMasks/02174.jpg
7243,2135,Scene 3/SyncT/01695.jpg,Scene 3/thermalMasks/01695.jpg
986,986,Scene 1/SyncT/01328.jpg,Scene 1/thermalMasks/01328.jpg
5983,875,Scene 3/SyncT/00923.jpg,Scene 3/thermalMasks/00923.jpg
6273,1165,Scene 3/SyncT/01040.jpg,Scene 3/thermalMasks/01040.jpg
90,90,Scene 1/SyncT/00089.jpg,Scene 1/thermalMasks/00089.jpg
4767,1499,Scene 2/SyncT/01797.jpg,Scene 2/thermalMasks/01797.jpg
1572,1572,Scene 1/SyncT/01739.jpg,Scene 1/thermalMasks/01739.jpg
2209,2209,Scene 1/SyncT/02057.jpg,Scene 1/thermalMasks/02057.jpg
4016,748,Scene 2/SyncT/00828.jpg,Scene 2/thermalMasks/00828.jpg
2697,2697,Scene 1/SyncT/02301.jpg,Scene 1/thermalMasks/02301.jpg
684,684,Scene 1/SyncT/00475.jpg,Scene 1/thermalMasks/00475.jpg
3684,416,Scene 2/SyncT/00514.jpg,Scene 2/thermalMasks/00514.jpg
2226,2226,Scene 1/SyncT/02066.jpg,Scene 1/thermalMasks/02066.jpg
6019,911,Scene 3/SyncT/00935.jpg,Scene 3/thermalMasks/00935.jpg
4864,1596,Scene 2/SyncT/01863.jpg,Scene 2/thermalMasks/01863.jpg
2555,2555,Scene 1/SyncT/02230.jpg,Scene 1/thermalMasks/02230.jpg
3147,3147,Scene 1/SyncT/00526.jpg,Scene 1/thermalMasks/00526.jpg
7101,1993,Scene 3/SyncT/01553.jpg,Scene 3/thermalMasks/01553.jpg
1037,1037,Scene 1/SyncT/01379.jpg,Scene 1/thermalMasks/01379.jpg
1333,1333,Scene 1/SyncT/01619.jpg,Scene 1/thermalMasks/01619.jpg
6482,1374,Scene 3/SyncT/01145.jpg,Scene 3/thermalMasks/01145.jpg
5160,52,Scene 3/SyncT/00144.jpg,Scene 3/thermalMasks/00144.jpg
6646,1538,Scene 3/SyncT/01227.jpg,Scene 3/thermalMasks/01227.jpg
6825,1717,Scene 3/SyncT/01316.jpg,Scene 3/thermalMasks/01316.jpg
7758,2650,Scene 3/SyncT/02210.jpg,Scene 3/thermalMasks/02210.jpg
5705,597,Scene 3/SyncT/00831.jpg,Scene 3/thermalMasks/00831.jpg
6720,1612,Scene 3/SyncT/01264.jpg,Scene 3/thermalMasks/01264.jpg
6219,1111,Scene 3/SyncT/01013.jpg,Scene 3/thermalMasks/01013.jpg
4695,1427,Scene 2/SyncT/01725.jpg,Scene 2/thermalMasks/01725.jpg
2955,2955,Scene 1/SyncT/00334.jpg,Scene 1/thermalMasks/00334.jpg
1434,1434,Scene 1/SyncT/01670.jpg,Scene 1/thermalMasks/01670.jpg
2056,2056,Scene 1/SyncT/01981.jpg,Scene 1/thermalMasks/01981.jpg
7563,2455,Scene 3/SyncT/02015.jpg,Scene 3/thermalMasks/02015.jpg
3413,145,Scene 2/SyncT/00329.jpg,Scene 2/thermalMasks/00329.jpg
3338,70,Scene 2/SyncT/00284.jpg,Scene 2/thermalMasks/00284.jpg
2095,2095,Scene 1/SyncT/02000.jpg,Scene 1/thermalMasks/02000.jpg
7946,2838,Scene 3/SyncT/02398.jpg,Scene 3/thermalMasks/02398.jpg
6965,1857,Scene 3/SyncT/01417.jpg,Scene 3/thermalMasks/01417.jpg
41,41,Scene 1/SyncT/00073.jpg,Scene 1/thermalMasks/00073.jpg
7928,2820,Scene 3/SyncT/02380.jpg,Scene 3/thermalMasks/02380.jpg
346,346,Scene 1/SyncT/00206.jpg,Scene 1/thermalMasks/00206.jpg
4040,772,Scene 2/SyncT/00852.jpg,Scene 2/thermalMasks/00852.jpg
3531,263,Scene 2/SyncT/00392.jpg,Scene 2/thermalMasks/00392.jpg
3300,32,Scene 2/SyncT/00246.jpg,Scene 2/thermalMasks/00246.jpg
2415,2415,Scene 1/SyncT/02160.jpg,Scene 1/thermalMasks/02160.jpg
1729,1729,Scene 1/SyncT/01817.jpg,Scene 1/thermalMasks/01817.jpg
3910,642,Scene 2/SyncT/00722.jpg,Scene 2/thermalMasks/00722.jpg
5443,335,Scene 3/SyncT/00266.jpg,Scene 3/thermalMasks/00266.jpg
6341,1233,Scene 3/SyncT/01074.jpg,Scene 3/thermalMasks/01074.jpg
367,367,Scene 1/SyncT/00216.jpg,Scene 1/thermalMasks/00216.jpg
403,403,Scene 1/SyncT/00234.jpg,Scene 1/thermalMasks/00234.jpg
1169,1169,Scene 1/SyncT/01511.jpg,Scene 1/thermalMasks/01511.jpg
4495,1227,Scene 2/SyncT/01394.jpg,Scene 2/thermalMasks/01394.jpg
2364,2364,Scene 1/SyncT/02135.jpg,Scene 1/thermalMasks/02135.jpg
5976,868,Scene 3/SyncT/00921.jpg,Scene 3/thermalMasks/00921.jpg
2954,2954,Scene 1/SyncT/00333.jpg,Scene 1/thermalMasks/00333.jpg
1662,1662,Scene 1/SyncT/01784.jpg,Scene 1/thermalMasks/01784.jpg
5026,1758,Scene 2/SyncT/02025.jpg,Scene 2/thermalMasks/02025.jpg
1146,1146,Scene 1/SyncT/01488.jpg,Scene 1/thermalMasks/01488.jpg
3085,3085,Scene 1/SyncT/00464.jpg,Scene 1/thermalMasks/00464.jpg
6777,1669,Scene 3/SyncT/01292.jpg,Scene 3/thermalMasks/01292.jpg
2885,2885,Scene 1/SyncT/02395.jpg,Scene 1/thermalMasks/02395.jpg
4939,1671,Scene 2/SyncT/01938.jpg,Scene 2/thermalMasks/01938.jpg
3262,3262,Scene 1/SyncT/01240.jpg,Scene 1/thermalMasks/01240.jpg
6853,1745,Scene 3/SyncT/01330.jpg,Scene 3/thermalMasks/01330.jpg
6662,1554,Scene 3/SyncT/01235.jpg,Scene 3/thermalMasks/01235.jpg
3903,635,Scene 2/SyncT/00715.jpg,Scene 2/thermalMasks/00715.jpg
1831,1831,Scene 1/SyncT/01868.jpg,Scene 1/thermalMasks/01868.jpg
2309,2309,Scene 1/SyncT/02107.jpg,Scene 1/thermalMasks/02107.jpg
1118,1118,Scene 1/SyncT/01460.jpg,Scene 1/thermalMasks/01460.jpg
1759,1759,Scene 1/SyncT/01832.jpg,Scene 1/thermalMasks/01832.jpg
4505,1237,Scene 2/SyncT/01535.jpg,Scene 2/thermalMasks/01535.jpg
2398,2398,Scene 1/SyncT/02152.jpg,Scene 1/thermalMasks/02152.jpg
975,975,Scene 1/SyncT/01317.jpg,Scene 1/thermalMasks/01317.jpg
7293,2185,Scene 3/SyncT/01745.jpg,Scene 3/thermalMasks/01745.jpg
1734,1734,Scene 1/SyncT/01820.jpg,Scene 1/thermalMasks/01820.jpg
2622,2622,Scene 1/SyncT/02264.jpg,Scene 1/thermalMasks/02264.jpg
7937,2829,Scene 3/SyncT/02389.jpg,Scene 3/thermalMasks/02389.jpg
889,889,Scene 1/SyncT/01262.jpg,Scene 1/thermalMasks/01262.jpg
3318,50,Scene 2/SyncT/00264.jpg,Scene 2/thermalMasks/00264.jpg
5533,425,Scene 3/SyncT/00770.jpg,Scene 3/thermalMasks/00770.jpg
6760,1652,Scene 3/SyncT/01284.jpg,Scene 3/thermalMasks/01284.jpg
6197,1089,Scene 3/SyncT/01002.jpg,Scene 3/thermalMasks/01002.jpg
3776,508,Scene 2/SyncT/00588.jpg,Scene 2/thermalMasks/00588.jpg
239,239,Scene 1/SyncT/00152.jpg,Scene 1/thermalMasks/00152.jpg
6740,1632,Scene 3/SyncT/01274.jpg,Scene 3/thermalMasks/01274.jpg
4578,1310,Scene 2/SyncT/01608.jpg,Scene 2/thermalMasks/01608.jpg
5510,402,Scene 3/SyncT/00299.jpg,Scene 3/thermalMasks/00299.jpg
4197,929,Scene 2/SyncT/01008.jpg,Scene 2/thermalMasks/01008.jpg
6150,1042,Scene 3/SyncT/00977.jpg,Scene 3/thermalMasks/00977.jpg
5832,724,Scene 3/SyncT/00873.jpg,Scene 3/thermalMasks/00873.jpg
1699,1699,Scene 1/SyncT/01802.jpg,Scene 1/thermalMasks/01802.jpg
2689,2689,Scene 1/SyncT/02297.jpg,Scene 1/thermalMasks/02297.jpg
4484,1216,Scene 2/SyncT/01383.jpg,Scene 2/thermalMasks/01383.jpg
1763,1763,Scene 1/SyncT/01834.jpg,Scene 1/thermalMasks/01834.jpg
1628,1628,Scene 1/SyncT/01767.jpg,Scene 1/thermalMasks/01767.jpg
617,617,Scene 1/SyncT/00408.jpg,Scene 1/thermalMasks/00408.jpg
6429,1321,Scene 3/SyncT/01118.jpg,Scene 3/thermalMasks/01118.jpg
3538,270,Scene 2/SyncT/00399.jpg,Scene 2/thermalMasks/00399.jpg
6008,900,Scene 3/SyncT/00932.jpg,Scene 3/thermalMasks/00932.jpg
1528,1528,Scene 1/SyncT/01717.jpg,Scene 1/thermalMasks/01717.jpg
5027,1759,Scene 2/SyncT/02026.jpg,Scene 2/thermalMasks/02026.jpg
3425,157,Scene 2/SyncT/00335.jpg,Scene 2/thermalMasks/00335.jpg
2999,2999,Scene 1/SyncT/00378.jpg,Scene 1/thermalMasks/00378.jpg
7630,2522,Scene 3/SyncT/02082.jpg,Scene 3/thermalMasks/02082.jpg
5299,191,Scene 3/SyncT/00121.jpg,Scene 3/thermalMasks/00121.jpg
4347,1079,Scene 2/SyncT/01246.jpg,Scene 2/thermalMasks/01246.jpg
4621,1353,Scene 2/SyncT/01651.jpg,Scene 2/thermalMasks/01651.jpg
4307,1039,Scene 2/SyncT/01206.jpg,Scene 2/thermalMasks/01206.jpg
5105,1837,Scene 2/SyncT/02104.jpg,Scene 2/thermalMasks/02104.jpg
7230,2122,Scene 3/SyncT/01682.jpg,Scene 3/thermalMasks/01682.jpg
3816,548,Scene 2/SyncT/00628.jpg,Scene 2/thermalMasks/00628.jpg
1295,1295,Scene 1/SyncT/01600.jpg,Scene 1/thermalMasks/01600.jpg
7313,2205,Scene 3/SyncT/01765.jpg,Scene 3/thermalMasks/01765.jpg
7674,2566,Scene 3/SyncT/02126.jpg,Scene 3/thermalMasks/02126.jpg
4478,1210,Scene 2/SyncT/01377.jpg,Scene 2/thermalMasks/01377.jpg
189,189,Scene 1/SyncT/00127.jpg,Scene 1/thermalMasks/00127.jpg
6649,1541,Scene 3/SyncT/01228.jpg,Scene 3/thermalMasks/01228.jpg
7790,2682,Scene 3/SyncT/02242.jpg,Scene 3/thermalMasks/02242.jpg
4522,1254,Scene 2/SyncT/01552.jpg,Scene 2/thermalMasks/01552.jpg
5731,623,Scene 3/SyncT/00839.jpg,Scene 3/thermalMasks/00839.jpg
6690,1582,Scene 3/SyncT/01249.jpg,Scene 3/thermalMasks/01249.jpg
3470,202,Scene 2/SyncT/00358.jpg,Scene 2/thermalMasks/00358.jpg
2349,2349,Scene 1/SyncT/02127.jpg,Scene 1/thermalMasks/02127.jpg
7934,2826,Scene 3/SyncT/02386.jpg,Scene 3/thermalMasks/02386.jpg
3096,3096,Scene 1/SyncT/00475.jpg,Scene 1/thermalMasks/00475.jpg
3542,274,Scene 2/SyncT/00403.jpg,Scene 2/thermalMasks/00403.jpg
1417,1417,Scene 1/SyncT/01661.jpg,Scene 1/thermalMasks/01661.jpg
4592,1324,Scene 2/SyncT/01622.jpg,Scene 2/thermalMasks/01622.jpg
6405,1297,Scene 3/SyncT/01106.jpg,Scene 3/thermalMasks/01106.jpg
6627,1519,Scene 3/SyncT/01217.jpg,Scene 3/thermalMasks/01217.jpg
2850,2850,Scene 1/SyncT/02378.jpg,Scene 1/thermalMasks/02378.jpg
5715,607,Scene 3/SyncT/00834.jpg,Scene 3/thermalMasks/00834.jpg
4074,806,Scene 2/SyncT/00886.jpg,Scene 2/thermalMasks/00886.jpg
2918,2918,Scene 1/SyncT/00297.jpg,Scene 1/thermalMasks/00297.jpg
4430,1162,Scene 2/SyncT/01329.jpg,Scene 2/thermalMasks/01329.jpg
3142,3142,Scene 1/SyncT/00521.jpg,Scene 1/thermalMasks/00521.jpg
660,660,Scene 1/SyncT/00451.jpg,Scene 1/thermalMasks/00451.jpg
4028,760,Scene 2/SyncT/00840.jpg,Scene 2/thermalMasks/00840.jpg
4777,1509,Scene 2/SyncT/01807.jpg,Scene 2/thermalMasks/01807.jpg
2277,2277,Scene 1/SyncT/02091.jpg,Scene 1/thermalMasks/02091.jpg
5566,458,Scene 3/SyncT/00784.jpg,Scene 3/thermalMasks/00784.jpg
4460,1192,Scene 2/SyncT/01359.jpg,Scene 2/thermalMasks/01359.jpg
5116,8,Scene 3/SyncT/00098.jpg,Scene 3/thermalMasks/00098.jpg
4875,1607,Scene 2/SyncT/01874.jpg,Scene 2/thermalMasks/01874.jpg
1422,1422,Scene 1/SyncT/01664.jpg,Scene 1/thermalMasks/01664.jpg
6657,1549,Scene 3/SyncT/01232.jpg,Scene 3/thermalMasks/01232.jpg
359,359,Scene 1/SyncT/00212.jpg,Scene 1/thermalMasks/00212.jpg
546,546,Scene 1/SyncT/00337.jpg,Scene 1/thermalMasks/00337.jpg
1803,1803,Scene 1/SyncT/01854.jpg,Scene 1/thermalMasks/01854.jpg
6616,1508,Scene 3/SyncT/01212.jpg,Scene 3/thermalMasks/01212.jpg
7153,2045,Scene 3/SyncT/01605.jpg,Scene 3/thermalMasks/01605.jpg
917,917,Scene 1/SyncT/01276.jpg,Scene 1/thermalMasks/01276.jpg
2831,2831,Scene 1/SyncT/02368.jpg,Scene 1/thermalMasks/02368.jpg
7157,2049,Scene 3/SyncT/01609.jpg,Scene 3/thermalMasks/01609.jpg
6753,1645,Scene 3/SyncT/01280.jpg,Scene 3/thermalMasks/01280.jpg
6990,1882,Scene 3/SyncT/01442.jpg,Scene 3/thermalMasks/01442.jpg
4499,1231,Scene 2/SyncT/01529.jpg,Scene 2/thermalMasks/01529.jpg
7352,2244,Scene 3/SyncT/01804.jpg,Scene 3/thermalMasks/01804.jpg
4471,1203,Scene 2/SyncT/01370.jpg,Scene 2/thermalMasks/01370.jpg
749,749,Scene 1/SyncT/00540.jpg,Scene 1/thermalMasks/00540.jpg
5927,819,Scene 3/SyncT/00905.jpg,Scene 3/thermalMasks/00905.jpg
1866,1866,Scene 1/SyncT/01886.jpg,Scene 1/thermalMasks/01886.jpg
6387,1279,Scene 3/SyncT/01097.jpg,Scene 3/thermalMasks/01097.jpg
4715,1447,Scene 2/SyncT/01745.jpg,Scene 2/thermalMasks/01745.jpg
2667,2667,Scene 1/SyncT/02286.jpg,Scene 1/thermalMasks/02286.jpg
5266,158,Scene 3/SyncT/00186.jpg,Scene 3/thermalMasks/00186.jpg
3732,464,Scene 2/SyncT/00544.jpg,Scene 2/thermalMasks/00544.jpg
338,338,Scene 1/SyncT/00202.jpg,Scene 1/thermalMasks/00202.jpg
5589,481,Scene 3/SyncT/00792.jpg,Scene 3/thermalMasks/00792.jpg
5493,385,Scene 3/SyncT/00291.jpg,Scene 3/thermalMasks/00291.jpg
